Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment,
1,144.20000,144.20000, ,Simplex,FM,NatCalFr,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
2,146.46000,146.46000, ,Simplex,FM,OffRoad,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
3,146.52000,146.52000, ,Simplex,FM,NatSimpl,Large,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
4,146.55000,146.55000, ,Simplex,FM,StormCha,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
5,147.42000,147.42000, ,Simplex,FM,Simplex1,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
6,147.57000,147.57000, ,Simplex,FM,Simplex2,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
7,162.40000,162.40000, ,Simplex,FM,NOAA-WX2,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
8,162.42500,162.42500, ,Simplex,FM,NOAA-WX4,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
9,162.45000,162.45000, ,Simplex,FM,NOAA-WX5,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
10,162.47500,162.47500, ,Simplex,FM,NOAA-WX3,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
11,162.50000,162.50000, ,Simplex,FM,NOAA-WX6,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
12,162.52500,162.52500, ,Simplex,FM,NOAA-WX7,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
13,162.55000,162.55000, ,Simplex,FM,NOAA-WX1,Small,None,100.0 Hz,023,1500 Hz,High,Off,Auto,Off,,
